C = 3.3252 , sum_Dbr = 8620878 ,b = 209952
C = 3.3252 , sum_Dbr = 9195493 ,b = 221184
C = 3.3252 , sum_Dbr = 10102478 ,b = 236196
C = 3.3252 , sum_Dbr = 10296523 ,b = 248832
C = 3.3252 , sum_Dbr = 11796480 ,b = 262144
C = 3.3252 , sum_Dbr = 11677835 ,b = 279936
C = 3.3252 , sum_Dbr = 12719183 ,b = 294912
C = 3.3252 , sum_Dbr = 13455968 ,b = 314928
C = 3.3252 , sum_Dbr = 14123686 ,b = 331776
C = 3.3252 , sum_Dbr = 15992259 ,b = 354294
C = 3.32099 , sum_Dbr = 15903451 ,b = 373248
C = 3.32099 , sum_Dbr = 17705747 ,b = 393216
C = 3.32099 , sum_Dbr = 18129680 ,b = 419904
C = 3.32099 , sum_Dbr = 19437675 ,b = 442368
C = 3.32099 , sum_Dbr = 21053444 ,b = 472392
C = 3.32099 , sum_Dbr = 21736086 ,b = 497664
C = 3.32099 , sum_Dbr = 24903680 ,b = 524288
C = 3.32099 , sum_Dbr = 25509168 ,b = 531441
C = 3.31862 , sum_Dbr = 24591486 ,b = 559872
C = 3.31862 , sum_Dbr = 26856846 ,b = 589824
C = 3.31862 , sum_Dbr = 28188429 ,b = 629856
C = 3.31862 , sum_Dbr = 29796143 ,b = 663552
C = 3.31862 , sum_Dbr = 33032114 ,b = 708588
C = 3.31815 , sum_Dbr = 33496640 ,b = 746496
C = 3.31815 , sum_Dbr = 37335799 ,b = 786432
C = 3.31815 , sum_Dbr = 38067347 ,b = 839808
C = 3.31815 , sum_Dbr = 40972473 ,b = 884736
C = 3.31815 , sum_Dbr = 43904058 ,b = 944784
C = 3.31815 , sum_Dbr = 45765941 ,b = 995328
C = 3.31815 , sum_Dbr = 52428800 ,b = 1048576
C = 3.31815 , sum_Dbr = 52134661 ,b = 1062882
C = 3.31329 , sum_Dbr = 51675648 ,b = 1119744
C = 3.31329 , sum_Dbr = 56553879 ,b = 1179648
C = 3.31329 , sum_Dbr = 58998012 ,b = 1259712
C = 3.31329 , sum_Dbr = 62697039 ,b = 1327104
C = 3.31329 , sum_Dbr = 68538346 ,b = 1417176
C = 3.31329 , sum_Dbr = 70388618 ,b = 1492992
C = 3.31329 , sum_Dbr = 78522354 ,b = 1572864
C = 3.31329 , sum_Dbr = 82904796 ,b = 1594323
C = 3.31329 , sum_Dbr = 79797004 ,b = 1679616
C = 3.31329 , sum_Dbr = 86146015 ,b = 1769472
C = 3.31329 , sum_Dbr = 91566597 ,b = 1889568
C = 3.31329 , sum_Dbr = 96132862 ,b = 1990656
C = 3.31329 , sum_Dbr = 110100480 ,b = 2097152
C = 3.31329 , sum_Dbr = 107282592 ,b = 2125764
C = 3.30948 , sum_Dbr = 108369603 ,b = 2239488
C = 3.30948 , sum_Dbr = 118794043 ,b = 2359296
C = 3.30948 , sum_Dbr = 123345187 ,b = 2519424
C = 3.30948 , sum_Dbr = 131616796 ,b = 2654208
C = 3.30948 , sum_Dbr = 142348715 ,b = 2834352
C = 3.30948 , sum_Dbr = 147594604 ,b = 2985984
C = 3.30948 , sum_Dbr = 164750192 ,b = 3145728
C = 3.30948 , sum_Dbr = 168887348 ,b = 3188646
C = 3.30808 , sum_Dbr = 166991500 ,b = 3359232
C = 3.30808 , sum_Dbr = 180706765 ,b = 3538944
C = 3.30808 , sum_Dbr = 190872810 ,b = 3779136
C = 3.30808 , sum_Dbr = 201491739 ,b = 3981312
C = 3.30808 , sum_Dbr = 230686720 ,b = 4194304
C = 3.30808 , sum_Dbr = 221780601 ,b = 4251528
C = 3.3068 , sum_Dbr = 226830485 ,b = 4478976
C = 3.3068 , sum_Dbr = 248971517 ,b = 4718592
C = 3.3068 , sum_Dbr = 267846264 ,b = 4782969
C = 3.3068 , sum_Dbr = 257545413 ,b = 5038848
C = 3.3068 , sum_Dbr = 275703152 ,b = 5308416
C = 3.3068 , sum_Dbr = 295766492 ,b = 5668704
C = 3.3068 , sum_Dbr = 308870107 ,b = 5971968
C = 3.3068 , sum_Dbr = 344918725 ,b = 6291456
C = 3.3068 , sum_Dbr = 346439239 ,b = 6377292
C = 3.30337 , sum_Dbr = 348891483 ,b = 6718464
C = 3.30337 , sum_Dbr = 378266169 ,b = 7077888
C = 3.30337 , sum_Dbr = 397574657 ,b = 7558272
C = 3.30337 , sum_Dbr = 421479307 ,b = 7962624
C = 3.30337 , sum_Dbr = 482344960 ,b = 8388608
C = 3.30337 , sum_Dbr = 459030337 ,b = 8503056
C = 3.30337 , sum_Dbr = 473934866 ,b = 8957952
C = 3.30337 , sum_Dbr = 520729943 ,b = 9437184
C = 3.30337 , sum_Dbr = 544138463 ,b = 9565938
C = 3.30337 , sum_Dbr = 537047369 ,b = 10077696
C = 3.30337 , sum_Dbr = 576389759 ,b = 10616832
C = 3.30337 , sum_Dbr = 614391180 ,b = 11337408
C = 3.30337 , sum_Dbr = 645183604 ,b = 11943936
C = 3.30337 , sum_Dbr = 720687889 ,b = 12582912
C = 3.30337 , sum_Dbr = 713922871 ,b = 12754584
C = 3.29991 , sum_Dbr = 727786115 ,b = 13436928
C = 3.29991 , sum_Dbr = 790280363 ,b = 14155776
C = 3.29991 , sum_Dbr = 860934420 ,b = 14348907
C = 3.29991 , sum_Dbr = 827327283 ,b = 15116544
C = 3.29991 , sum_Dbr = 880030219 ,b = 15925248
C = 3.29991 , sum_Dbr = 1006632960 ,b = 16777216
C = 3.29991 , sum_Dbr = 950667281 ,b = 17006112
C = 3.29991 , sum_Dbr = 988574956 ,b = 17915904
C = 3.29991 , sum_Dbr = 1087070887 ,b = 18874368
C = 3.29991 , sum_Dbr = 1113180628 ,b = 19131876
C = 3.29916 , sum_Dbr = 1118392177 ,b = 20155392
C = 3.29916 , sum_Dbr = 1202827977 ,b = 21233664
C = 3.29916 , sum_Dbr = 1275631083 ,b = 22674816
C = 3.29916 , sum_Dbr = 1345400176 ,b = 23887872
C = 3.29916 , sum_Dbr = 1503102437 ,b = 25165824
C = 3.29916 , sum_Dbr = 1473243769 ,b = 25509168
C = 3.2974 , sum_Dbr = 1515887656 ,b = 26873856
C = 3.2974 , sum_Dbr = 1648135924 ,b = 28311552
C = 3.2974 , sum_Dbr = 1744916445 ,b = 28697814
C = 3.2974 , sum_Dbr = 1719829695 ,b = 30233088
